uuid,title,author,abstract
1099,Systematic review and meta-analysis of the inter-recti distance on ultrasound measurement in nulliparas,"Yue Wang,Huifang Wang,Yue Wang,Huifang Wang","The objective is to evaluate the inter-recti distance on ultrasound measurement at different locations in healthy nulliparas. Electronic databases were searched for studies describing the inter-recti distance measured by ultrasound in healthy nulliparas. We excluded studies without descriptions of the measurement position or the condition of the abdominal wall. A meta-analysis was performed to evaluate the inter-recti distance on ultrasound measurement. Seven eligible studies with 295 healthy nulliparas were included. The location of the inter-recti distance measurement by ultrasound was not uniform. The pooled data divided the measurement locations into three areas. The meta-analytic summary values of the umbilical inter-recti distance of the nulliparas was 8.77 mm (6.56-10.99 mm), the distance at the epigastric area was 7.22 mm (2.76-11.68 mm), and that at the infraumbilical area was 4.09 mm (1.55-6.64 mm). The maximal reported inter-recti distance in healthy nulliparous women is smaller than 10 mm on ultrasound measurement at all locations and the range in the umbilical area is larger than that in the epigastric, infraumbilical areas. The values for the inter-recti distance reported in this systematic review can be used as the reference of feasible and desirable distance of the rectus muscles after rectus fascia plication. The limitation was that the methodological quality of the assessment in most studies was unclear or low."
1100,State-of-health estimation of lithium-ion batteries based on semi-supervised transfer component analysis,"Li, Yuanyuan; Sheng, Hanmin; Cheng, Yuhua; Stroe, Daniel-Ioan; Teodorescu, Remus","Accurate state-of-health estimation can ensure the safe and reliable operation of Lithium-ion batteries in any given application. Nevertheless, most of the state-of-health estimation methods require a large amount of laboratory aging data to offer precise results. As obtaining battery aging data under laboratory conditions requires a considerable amount of time and incurs high economic costs, in this paper, a method based on transfer learning is proposed to monitor state-of-health of batteries. A novel data processing method based on maximum mean discrepancy is considered to eliminate redundant information and minimize the difference between different data distributions. Then, mutual information is used to prove that the correlation between processed data is not decreased. To validate the developed transfer learning method, the data sets of four batteries in different working conditions are considered. Different error-detection methods, maximum average error, mean squared error and root mean squared error, which are utilized to evaluate the proposed model. The state of health is estimated effectively with less than 2.5% error considering the aforementioned errors after processed by using semi-supervised transfer component analysis algorithm, although the training set only accounts for about 35% of the entire set. The results indicate that transfer learning plays an important role in improving the estimation accuracy of a battery state-of-health."
1101,"Spatial Statistics and Influencing Factors of the COVID-19 Epidemic at Both Prefecture and County Levels in Hubei Province, China","Xiong, Yongzhu; Wang, Yunpeng; Chen, Feng; Zhu, Mingyong","The coronavirus disease 2019 (COVID-19) epidemic has had a crucial influence on people's lives and socio-economic development. An understanding of the spatiotemporal patterns and influencing factors of the COVID-19 epidemic on multiple scales could benefit the control of the outbreak. Therefore, we used spatial autocorrelation and Spearman's rank correlation methods to investigate these two topics, respectively. The COVID-19 epidemic data reported publicly and relevant open data in Hubei province were analyzed. The results showed that (1) at both prefecture and county levels, the global spatial autocorrelation was extremely significant for the cumulative confirmed COVID-19 cases (CCC) in Hubei province from 30 January to 18 February 2020. Further, (2) at both levels, the significant hotspots and cluster/outlier areas were observed solely in Wuhan city and most of its districts/sub-cities from 30 January to 18 February 2020. (3) At the prefecture level in Hubei province, the number of CCC had a positive and extremely significant correlation (p < 0.01) with the registered population (RGP), resident population (RSP), Baidu migration index (BMI), regional gross domestic production (GDP), and total retail sales of consumer goods (TRS), respectively, from 29 January to 18 February 2020 and had a negative and significant correlation (p < 0.05) with minimum elevation (MINE) from 2 February to 18 February 2020, but no association with the land area (LA), population density (PD), maximum elevation (MAXE), mean elevation (MNE), and range of elevation (RAE) from 23 January to 18 February 2020. (4) At the county level, the number of CCC in Hubei province had a positive and extremely significant correlation (p < 0.01) with PD, RGP, RSP, GDP, and TRS, respectively, from 27 January to 18 February 2020, and was negatively associated with MINE, MAXE, MNE, and RAE, respectively, from 26 January to 18 February 2020, and negatively associated with LA from 30 January to 18 February 2020. It suggested that (1) the COVID-19 epidemics at both levels in Hubei province had evident characteristics of significant global spatial autocorrelations and significant centralized high-risk outbreaks. (2) The COVID-19 epidemics were significantly associated with the natural factors, such as LA, MAXE, MNE, and RAE, -only at the county level, not at the prefecture level, from 2 February to 18 February 2020. (3) The COVID-19 epidemics were significantly related to the socioeconomic factors, such as RGP, RSP, TRS, and GDP, at both levels from 26 January to 18 February 2020. It is desired that this study enrich our understanding of the spatiotemporal patterns and influencing factors of the COVID-19 epidemic and benefit classified prevention and control of the COVID-19 epidemic for policymakers."
1102,"A novel multi-objective spiral optimization algorithm for an innovative solar/biomass-based multi-generation energy system: 3E analyses, and optimization algorithms comparison","Cao, Yan; Rad, Hima Nikafshan; Jamali, Danial Hamedi; Hashemian, Nasim; Ghasemi, Amir","A novel multi-generation energy system is proposed consisting of a solar gas turbine system, multi-effect seawater desalination, LNG cold energy recovery unit, and a double effect absorption chiller. In addition, different working fluids of the ORC system are examined to select the suitable working fluid in terms of global warming potential and exergy efficiency of the system. Subsequently, energy, exergy, and economic (3E) analyses are performed to comprehensively evaluate the energy system. Besides, a parametric study is conducted to assess the effect of the most influential decision variables on the proposed system. Afterward, the novel multi-objective spiral optimization (MOSPO) algorithm is introduced to minimize total cost rate of the system while maximizing the exergy efficiency as the conflicting objective functions. The proposed algorithm is developed to optimize the decision variables effectively. To ascertain the final optimum solution point, three conventional methods i.e. TOPSIS, LINMAP and Shannon's entropy are implemented. The results revealed that exergy efficiency and total cost rate of the system at the baseline are 60.05%, and 36.75 $/h, respectively. Furthermore, the net power output of the system would be 106.5 kW in addition to 0.7703 kW heating load, 56.01 kW cooling capacity, and 35.74 kg/h fresh water production capacity. The eco-environmental assessment revealed the fact that the proposed renewable-based energy system is capable of avoiding 485 tons CO2 emissions annually, and product cost rate reduction up to 6 $/hr in comparison to coal and natural gas-based energy systems. Besides, the proposed MOSPO algorithm is compared with common optimization methods; accordingly, the conventional algorithms are selected for the comparison including non-dominated sorting genetic algorithm II (NSGA-II), the multiple objective particle swarm optimization (MOPSO) algorithm, the Pareto envelope-based selection algorithm II (PESA-II), and the strength Pareto evolutionary algorithm II (SPEA-II). The comparison results show that the proposed MOSPO algorithm is preferable according to the Taylor Diagrams showing the performance of the algorithms."
1103,Analysis of the influence of groundwater on land subsidence in Beijing based on the geographical weighted regression (GWR) model,"Yu, Hairuo; Gong, Huili; Chen, Beibei; Liu, Kaisi; Gao, Mingliang","A global geological phenomenon caused by natural or human activities is described as land subsidence. Groundwater extraction plays a significant part in causing land subsidence. Due to economic development, urban expansion, and rapid population expansion, the unscientific exploitation of groundwater in Beijing has been accelerated, whichmakes it the regionwith the fastest land subsidence rate in China. To study the spatial heterogeneity of land subsidence caused by groundwater aquifers level changes, the monitoring results of land subsidence in 2003-2010 yearswere analyzed by using PS-InSAR, based on ENVISAT ASAR in Beijing plain area. Themaximum value of accumulated land subsidence in the study area is 707mm, and in this study areamultiple subsidence center areas have been formed. AGWRmodel based on a regular grid has been established by exploring the effects of unconfined aquifer (UA), first confined aquifer (FCA), second confined aquifer (SCA), third confined aquifer (TCA) on land subsidence and their spatial non-stationarity. The change of subsidence in all subsidence areas is positively related to the change of SCA water level. Except the fact that the main control factors of Liyuan and Songzhuang are the change of UA layer, the change of SCA is the main control factor of land subsidence in most subsidence areas. Though the contribution rate of SCA to land subsidence is the highest, the contribution rate of TCA has been increasing. It is predicted that the impact on land subsidence will increase year by year. The results of thiswill not only help to understand the spatial impact patterns of aquifers on land subsidence zones, but also to formulate optimal groundwater regulation and recharge policies. There is a scarcity of the consideration of the compressible layer in the study and it will become more comprehensive if further datasets are obtained. (c) 2020 Published by Elsevier B.V."
1104,Therapy Delayed is Therapy Denied: A Case Report of Melanoma Misdiagnosed as Diabetic Foot Ulcer,"Lawrence Chukwudi Nwabudike,Ana Maria Oproiu,Ioana Mihaela Dogaru,Mariana Costache,Cristian Onisor,Alin Laurentiu Tatu,Lawrence Chukwudi Nwabudike,Ana Maria Oproiu,Ioana Mihaela Dogaru,Mariana Costache,Cristian Onisor,Alin Laurentiu Tatu","Malignant melanoma is a deadly form of skin cancer, and prompt diagnosis is a key factor in providing adequate, life-saving therapy. A 75-year-old man, with long-standing type 2 diabetes mellitus, presented with a 2- to 3-year history of right heel ulcer. He had received various therapies for a diagnosis of diabetic foot ulcer, to no avail. Physical examination showed a black, fungating ulcerated lesion on his right heel, with minimal bleeding. No inguinal lymphadenopathy was palpated. A biopsy was done, which revealed BRAF-negative malignant melanoma, with a vertical growth phase, Breslow 3.1 mm, ulceration, 11 mitoses/mm2, Clark level IV, no lymphatic or vascular invasion observed. Right inguinal lymph node sampling suggested no involvement, but PET-CT suggested pulmonary, right inguinal lymph node and bone involvement. The patient was referred to the oncologists. Written informed consent for publication was given by the patient. Diabetic foot ulcers are a frequently encountered, but serious complication of diabetes mellitus. Delayed healing is often seen, despite adequate therapy. The differential diagnosis of diabetic foot ulcers is vast and includes neoplasia. When a foot ulcer fails to heal, other differential diagnoses must be considered, in order for the patient to receive adequate therapy. Here specialist consultations, including dermatology consultations, could improve chances of delivering the right therapy promptly. This is a factor underlying the emphasis on a multidisciplinary approach to foot ulcer therapy. Our presentation - reported according to the CARE guidelines - also illustrates the fact that failure to reach a timely diagnosis may deny the patient the opportunity to receive adequate treatment. In such cases, ""delayed therapy becomes denied (or failed) therapy"", paraphrasing the old adage ""Justice delayed is justice denied""."
1105,How does energy poverty affect economic development? A panel data analysis of South Asian countries,"Amin, Asad; Liu, Yaping; Yu, Jie; Chandio, Abbas Ali; Rasool, Samma Faiz; Luo, Ji; Zaman, Shah","This study examines the interaction between energy poverty, employment, education, per capita income, inflation, and economic development using panel data for seven South Asian countries. The present study uses panel data spanning the period from 1995 to 2017, panel cointegration, autoregressive distributed lag (ARDL), and penalized quantile regression (PQR) estimators to test for cointegration in the long-run. The estimated results reveal that both panel cointegration approaches (Pedroni and Johansen-Fisher) demonstrate the existence of the long-term relationship between energy poverty, employment, education, per capita income, inflation, and economic development. The ARDL estimates show that energy poverty has a negative influence on economic development in both the long-run and the short-run. The results provide support for economic, social, and environmental policymakers in their decision-making. This study suggests that, in relation to financing the green and low-carbon economy concept, both the public sector and private industries need to make further efforts to use modern, energy-efficient, and green technologies, which are beneficial both for economic progress as well as managing the ecological degradation process."
1106,Foreign direct investment and education as determinants of environmental quality: The importance of post Paris Agreement (COP21),"Zafar, Muhammad Wasif; Qin, Quande; Malik, Muhammad Nasir; Zaidi, Syed Anees Haider","This study investigates the effect of foreign direct investment and education on environmental quality for Asian countries by controlling income, energy consumption, and urbanization for the period of 1990-2018. We have applied panel cointegration techniques to probe for long-run associations among the variables. The empirical results indicate the existence of cointegration between the variables. Dynamic ordinary least square and fully modified least square methods are applied to estimate long-run elasticities. The empirical results confirm that environmental quality is sensitive to foreign direct investment, education, and urbanization. Income and energy consumption deteriorate environmental quality by increasing CO2 emissions. In the long-run, bidirectional causal associations are found for emissions-foreign direct investment, emissions-energy use, income-emissions, foreign direct investment-income, and energy-income nexus. Furthermore, there is a unidirectional causality running from education and urbanization to emissions, foreign direct investment, income, and energy use. Policymakers in Asian economies are encouraged to establish policies that increase the education budget, promote the use of green energy, attract foreign direct investment with green technology, and expand cities to limit the urbanization effects on environmental quality."
1107,Effect of COVID-19 virus on reducing GHG emission and increasing energy generated by renewable energy sources: A brief study in Malaysian context,"Naderipour, Amirreza; Abdul-Malek, Zulkurnain; Ahmad, Noor Azlinda; Kamyab, Hesam; Ashokkumar, Veeramuthu; Ngamcharussrivichai, Chawalit; Chelliapan, Shreeshivadasan","Coronavirus 2019 (COVID-19) has globally affected the human mortality rate and economic history of the modern world. According to the World Health Organization, COVID-19 has caused a severe threat to the health of the vulnerable groups, notably the elderly. There is still some disagreements regarding the source of the virus and its intermediate host. However, the spread of this disease has caused most countries to enforce strict curfew laws and close most industrial and recreational centres. This study aims to show the potential positive effects of COVID-19 on the environment and the increase of renewable energy generation in Malaysia. To prevent the spread of this disease, Malaysia enacted the Movement Control Order (MCO) law in March 2020. Implementation of this law led to a reduction in environmental pollution, especially air pollution, in this country. The greenhouse gases (GHG) emission , which was 8 Mt CO2 eq. from January 2020 to March 2020, reduced to <1 Mt CO2 eq. for April and May. The reduction of GHG emission and pollutant gases allowed more sunlight to reach photovoltaic panels, hence increasing the renewable energy generation. (C) 2020 Elsevier B.V. All rights reserved."
1108,Novel insights on premature progesterone elevation: a mini-review,"Alfredo Cortés-Vazquez,Cristabel Escobosa,Alfredo L Cortés-Algara,Jesús D Moreno-García,Alfredo Cortés-Vazquez,Cristabel Escobosa,Alfredo L Cortés-Algara,Jesús D Moreno-García","In vitro fertilization (IVF) success involves ovarian stimulation with conventional or mild stimulation protocols aimed to yield an adequate number of mature oocytes. These oocytes can be further fertilized and generate good quality embryos to be transferred, ideally in the same cycle. Since 2013, following the results of a meta-analysis including more than 60,000 IVF cycles, the negative effects of premature progesterone elevation on reproductive outcomes have been demonstrated. Nowadays, evidence is emerging on the limited regulation on serum progesterone values, demonstrating significantly lower live birth rates in patients with either low (<0.5ng/ml) late follicular phase progesterone or higher levels decreasing sharply. This review discusses and summarizes the different mechanisms of progesterone elevation and its impact on IVF treatments. Different approaches to diminish the impact of progesterone on fertility outcomes are also addressed."
1109,Perspectives of online anatomy teachers: A neglected study population struggles with the invisible student,"Stefanie M Attardi,Noah M Mintz,Kem A Rogers,Stefanie M Attardi,Noah M Mintz,Kem A Rogers","Online teachers are an under-researched population, but their perspectives are crucial to the successful implementation of online education. A fully online section of an established face-to-face (F2F) two-semester undergraduate anatomy course with a prosection laboratory commenced in 2012 at The University of Western Ontario, Canada. Professors' lectures for F2F students were broadcast in live and archived format to online students using Blackboard Collaborate (BBC) video conferencing software. Teaching assistants (TAs) delivered online laboratories using BBC and three-dimensional (3D) anatomical computer models. This study explored the common experiences and issues faced by the course teachers from 2012 to 2014. Transcripts from open-ended, individual interviews with professors (n = 4) and TAs (n = 5) were coded and analyzed thematically. The teachers' concern for their inability to see the students during sessions to assess class engagement and their teaching effectiveness, and to develop social relationships, was the main finding. However, video conferencing software and email were sufficient communication methods for the students' questions and the teachers' answers. The TAs noted usability challenges and anatomical inaccuracies in the 3D models compared to cadavers. Due to limitations of BBC's screen sharing function, live manipulation for the 3D computer models was not possible; however, the TAs found pedagogical value in using screen captures of the models for drawing activities with the students. Overall, preparation time for teaching online was longer than for F2F. The study's findings provide science educators with issues to consider when preparing for online teaching and recommendations to optimize the teaching experience."
1110,A moderated -mediation analysis of psychological empowerment: Sustainable leadership and sustainable performance,"Iqbal, Qaisar; Ahmad, Noor Hazlina; Nasim, Adeel; Khan, Syed Abdul Rehman","Business cannot escape the impact of climate change that is deteriorating day by day. Many organizations are becoming motivated more than ever to introduce new business models, modern technologies, and supportive policies with an effort to cope with critical issues connected to climate change. The present study has investigated the mediating effect of psychological safety on the relationship between sustainable leadership and sustainable performance as well as evaluating the moderation impact of psychological empowerment on that relationship. To date, the present research is the first attempt wherein the incorporation of psychological empowerment and psychological safety has redefined the association between sustainable leadership and sustainable performance. Using cluster sampling approach, the data for this research was collected from 405 SMEs from Kuala Lumpur (Malaysia), Jakarta (Indonesia), and Bandar Seri Begawan (Brunei Darussalam). Using structural equation modelling (variance-based), this study has analyzed proposed hypothesis. Hierarchical regression analysis (PROCESS Macro) in SPSS was employed to analyze the moderated-mediation impact of psychological empowerment. The empirical results confirm that sustainable leadership has a substantial impact on psychological safety. This study confirms that sustainable leadership has positive indirect effect on sustainable performance through psychological safety which amplifies in the presence of psychological empowerment. Establishment of a psychologically safe environment that encourages knowledge sharing and openness to speaking will improve sustainable performance in the presence of sustainable leadership. Therefore, the development of practices that promote psychological empowerment among employees is essential. This study broadens our understanding of sustainable performance toward sustainable leaders, its underlying mechanism and conditional effect, making contribution to the psychology of honeybee leadership. (C) 2020 Elsevier Ltd. All rights reserved."
1111,Potential disruptive effects of copper-based antifouling paints on the biodiversity of coastal macrofouling communities,"Francesca Cima,Roberta Varello,Francesca Cima,Roberta Varello","The expanded use of copper(I)-based antifouling paints (AF) has increased copper leaching into coastal environments, requiring attention and legislative restrictions for potential long-term effects on benthic populations. The ecological succession of macrofouling communities was analysed on wooden and stainless steel panels coated with four copper(I)-based AF (Paints A-D) immersed for 10 months in the Lagoon of Venice. With the exception of Paint B, which contained only copper(I) compounds and was based on hard-matrix technology, the other paints were based on self-polishing matrices and various booster biocides. The booster content was a mix of TBT compounds for Paint A, dichlofluanid for Paint C, Irgarol 1051, and chlorothalonil for Paint D. The macrofouling communities appeared dissimilar to those on the reference uncoated panels as regard the species richness, the coverage areas, and the biocoenosis structure. Generally, green algae, bryozoans, and barnacles were the most tolerant taxa and a negative species selection occurred for sponges, serpulids, and ascidians. Paints A and D showed the highest performance, and Paint D also prevented molluscs on wood panels. Paints B and C rapidly decreased their efficiency, the first probably due to the insoluble matrix with the highest biocidal leaching rate, and the second due to the presence of a booster with low toxicity. Paint B also inhibited red algae and molluscs, but Paint C did not reveal significant differences in types of species settlements with reference panels."
1112,"Biochar enhanced thermophilic anaerobic digestion of food waste: Focusing on biochar particle size, microbial community analysis and pilot-scale application","Zhang, Le; Lim, Ee Yang; Loh, Kai-Chee; Ok, Yong Sik; Lee, Jonathan T. E.; Shen, Ye; Wang, Chi-Hwa; Dai, Yanjun; Tong, Yen Wah","Effectiveness of biochar addition to enhance thermophilic semi-continuous anaerobic digestion (AD) of food waste for methane production was investigated with a focus on dosage and particle size of biochar, pilot-scale application and elucidation of methanogenic pathways. Optimal dosage range of biochar was determined as 7.5 to 15 g per L working volume based on lab-scale batch AD. Effects of biochar with different particle sizes at a model dosage of 15 g/L were evaluated in a semi-continuous AD experiment, results of which showed that all the examined biochars with different particle sizes (< 50 mu m to 3 cm) substantially enhanced the average methane yields (0.465-0.543 L/gVS) compared to control digesters which failed due to overloading (>= 3.04 gVS/L/d). No significant difference in methane yields, however, was observed among digesters with different particle sizes of biochars, except for 1-3 cm. The core reason for this phenomenon was that the biochars with different particle sizes had similar properties (e.g. density, surface area and pore size) and that the floating of large particle size (1-3 cm) of biochar with a density of 847 kg/m(3) was not conducive to microbial growth. Metagenomic analysis was performed to determine the predominant microbial species and to explain the main methanogenic pathways in biochar-amended digesters using 16S rRNA sequencing. In the biochar-amended digester, bacterial phylum Thermotogae containing a major genus of Defluviitoga was selectively enriched with gradual increase of organic loadings, while simultaneously enriched methanogen genera Methanothermobacter and Methanosarcina, which showed a synergy of hydrogenotrophic and acetoclastic methanogenic pathways, jointly enhanced the methane productivity. Both technical feasibility and economic feasibility of adding biochar with simple pretreatment (e.g. smash) were validated in the pilot-scale thermophilic semi-continuous AD operations."
1113,Exploring US Shifts in Anti-Asian Sentiment with the Emergence of COVID-19,"Nguyen, Thu T.; Criss, Shaniece; Dwivedi, Pallavi; Huang, Dina; Keralis, Jessica; Hsu, Erica; Phan, Lynn; Nguyen, Leah H.; Yardi, Isha; Glymour, M. Maria; Allen, Amani M.; Chae, David H.; Gee, Gilbert C.; Nguyen, Quynh C.","Background: Anecdotal reports suggest a rise in anti-Asian racial attitudes and discrimination in response to COVID-19. Racism can have significant social, economic, and health impacts, but there has been little systematic investigation of increases in anti-Asian prejudice. Methods: We utilized Twitter's Streaming Application Programming Interface (API) to collect 3,377,295 U.S. race-related tweets from November 2019-June 2020. Sentiment analysis was performed using support vector machine (SVM), a supervised machine learning model. Accuracy for identifying negative sentiments, comparing the machine learning model to manually labeled tweets was 91%. We investigated changes in racial sentiment before and following the emergence of COVID-19. Results: The proportion of negative tweets referencing Asians increased by 68.4% (from 9.79% in November to 16.49% in March). In contrast, the proportion of negative tweets referencing other racial/ethnic minorities (Blacks and Latinx) remained relatively stable during this time period, declining less than 1% for tweets referencing Blacks and increasing by 2% for tweets referencing Latinx. Common themes that emerged during the content analysis of a random subsample of 3300 tweets included: racism and blame (20%), anti-racism (20%), and daily life impact (27%). Conclusion: Social media data can be used to provide timely information to investigate shifts in area-level racial sentiment."
1114,"Industrialization, urbanization and CO2 emissions in Saudi Arabia: Asymmetry analysis","Mahmood, Haider; Alkhateeb, Tarek Tawfik Yousef; Furqan, Maham","Keeping a sustainable environment is always a massive challenge for oil-exporting countries, and in that situation, industrialization and rapid growth of urbanization can add fuel to the fire. We investigate the effects of industrialization and urbanization on the CO2 emissions per capita in Saudi Arabia, utilizing an annual period 1968-2014. The results show that both industrialization and urbanization impede the environment with the inelastic effect of industrialization and elastic effect of urbanization on the emissions. An asymmetry in the relationship of industrialization and emissions is also found. The increasing industrialization has larger environmental effect than decreasing industrialization. We recommend the Saudi government to design tighter urban and industrial-environmental policies to put a halt on increasing CO2 emissions. (C) 2020 The Authors. Published by Elsevier Ltd."
1115,Reparative and Immunomodulatory Potential of Low-Molecular-Weight Fractions of Secondary Metabolites of Bacillus sp,"L F Kalenova,S A Petrov,Yu G Sukhovei,L F Kalenova,S A Petrov,Yu G Sukhovei","The experiment was performed on male BALB/c mice with modeled skin wound. Two chromatographic fractions of secondary metabolites of permafrost bacteria Bacillus sp., that represent a mixture of polyethylene-polypropylene glycols oligomers with a molecular weight from 900 to 1350 Da were used as therapeutic agents. Application of the test substances on the wound surface and their parenteral administration significantly accelerated wound epithelialization in comparison with untreated control, activated metabolic processes, and improved humoral immunity. In in vitro experiments, the fractions activated the synthesis of IFNγ and IL-4 by human peripheral blood mononuclear cells. We conclude that polyethylene-polypropylene glycol oligomers can be a part of effector molecules that determine the repair and immunomodulatory potential of secondary metabolites of permafrost microorganisms Bacillus sp."
1116,Die Zukunft braucht Pflege — die Pflege braucht Zukunft,"Judith Goldgruber,Lydia Hasenbichler,Waltraud Haas-Wippel,Judith Goldgruber,Lydia Hasenbichler,Waltraud Haas-Wippel","The need for nursing care will continue to rise, as will the need for qualified nursing staff. At the same time, more and more people are leaving the nursing profession. According to a recent representative online survey, 45 percent of Austrian nursing professionals in the acute care sector regularly consider leaving the profession. The International Council of Nurses (ICN) even warns of a worldwide ""mass exodus"" from nursing due to the Covid-19 pandemic. Markus Golla from IMC FH Krems pleads for a complete re-examination of nursing profession and of the perspective on aging in general. Two geriatric nurses give an insight into their everyday working lives and how they feel about working in this profession today. The problems of nursing have been known for years. Politicians are urgently called upon to set the course for a good future for nursing care in Austria."
1117,Closed loop supply chain network for local and distributed plastic recycling for 3D printing: a MILP-based optimization approach,"Santander, Pavlo; Sanchez, Fabio A. Cruz; Boudaoud, Hakim; Camargo, Mauricio","Recent research and initiatives increasingly propose a new approach, based on distributed plastic recycling for open-source (OS) 3D printing technologies, as a way to deal with the issue of plastic waste and to support the development of the circular economy (CE). Distributed recycling can be thought of as a sort of ""smart grid"", composed of small and coordinated recycling units. However, the operational complexity of this distributed approach limits its application. Furthermore, the environmental and economic advantages have yet to be demonstrated. This article therefore explores the economic and environmental feasibility of this distributed plastic recycling approach from a logistics perspective, as a step towards its validation. To achieve this, an optimization mixed integer linear programming (MILP) model was used as an evaluation tool, representing a local closed loop supply chain (CLSC) network. The proposed model is illustrated using a case study of a university seeking to implement a distributed recycling demonstrator in order to recover 3D printing wastes from secondary schools in the northeast of France. Following this step, a sensitivity analysis was carried out considering the market variations (price of virgin plastic filament) and the amount of available plastic waste derived from the schools. The results obtained show positive economic and environmental benefits of carrying out this new method of plastic recycling. This work serves as a basis for continuing to explore the feasibility and replication of the distributed plastic recycling network in other contexts."
1118,Advancement in valorization technologies to improve utilization of bio-based waste in bioeconomy context,"Usmani, Zeba; Sharma, Minaxi; Karpichev, Yevgen; Pandey, Ashok; Kuhad, Ramesh Chander; Bhat, Rajeev; Punia, Rajesh; Aghbashlo, Mortaza; Tabatabaei, Meisam; Gupta, Vijai Kumar","The world today is not only facing the problem of depleting energy sources but also generation of waste from anthropogenic activities. While waste is a risk, it is also an opportunity to solve this dual problem through utilization of waste as a potential source of energy and products. In order to reconcile the management of waste to the scale of its production, several researches are being pursued. Establishment of bioeconomy is a great way to achieve this goal. But inherent challenges associated with biowaste include manageability of by-products and sludge, wide variety in waste composition, efficiency of the process and economic viability of treatment technologies to scale-up and industrialize beyond laboratory setup. Recent advancements have been made in this regard with the use of new techniques, synergistic catalysts, combination of technologies and novel treatment materials to remediate the challenges and maximize the value of waste by utilizing it as a feedstock to produce industrial chemicals, fuels and materials. This review provides an insight into these developments, along with the critical discussion, limitations and economic feasibility of waste valorization technologies to provide new understanding for the advancement of bioeconomy."
1119,"Knockdown of zinc finger protein 267 suppresses diffuse large B-cell lymphoma progression, metastasis, and cancer stem cell properties","Hua Yang,Linmei Wang,Yingbin Zheng,Guiming Hu,Hongyan Ma,Liyun Shen,Hua Yang,Linmei Wang,Yingbin Zheng,Guiming Hu,Hongyan Ma,Liyun Shen","Zinc finger protein 267 (ZNF267) is a member of the Kruppel-like transcription factor family, which regulates various biological processes such as cell proliferation and differentiation. However, the biological significance of ZNF267 and its potential role in diffuse large B-cell lymphoma (DLBCL) remain to be documented. Experiments were herein conducted to study the role of ZNF267 in DLBCL. real-time quantitative reverse transcription PCR and Western blotting assays were conducted to detect the expression of ZNF267 in tissues and cells. Tissue microarray and bioinformatics analyses of public data were also done to detect the expression status and clinical significance of ZNF267. Functional cell experiments including CCK8 assay, colony formation assay, 5-ethynyl-2'-deoxyuridine (EDU) assay, terminal deoxynucleotidyl transferase biotin-dUTP nick end labeling (TUNEL) assay, transwell assay, and wound healing assay were conducted to study the effects of ZNF267 knockdown and overexpression on cell proliferation and mobility. Xenograft assay was also conducted to confirm the effects of ZNF267 knockdown in vivo. In the present study, we found ZNF267 was significantly upregulated in DLBCL and predicted a poor survival outcome based on the bioinformatics analysis. Functionally, the knockdown of ZNF267 resulted in less cell proliferation and mobility, whereas the overexpression led to enhanced cell proliferation and mobility. Animal experiments also confirmed that ZNF267 silence contributed to less tumor growth and less lung metastasis. Further analysis showed that ZFN267 knockdown resulted in decreased epithelial-mesenchymal transition (EMT) and cancer stem cell (CSC) properties. Our results suggest that ZNF267 is an oncogene in DLBCL and its silence could compromise the aggression of DLBCL, which makes ZNF267 a promising therapeutic target."
1120,"Influencing Factors of Chinese Consumers' Purchase Intention to Sustainable Apparel Products: Exploring Consumer ""Attitude-Behavioral Intention"" Gap","Jung, Hye Jung; Choi, Yun Jung; Oh, Kyung Wha","As the rapid economic growth and over-consumption within the largest population worldwide has resulted in harmful environment deterioration, a shift to more sustainable consumption behaviors is required in China. Although public interests in sustainability have increased and consumers' attitudes are positive, their behavioral intentions are not consistent with attitudes. This study aims to uncover psychological drivers and barriers (consumption values, social norms, and attitudes to sustainable apparel products) of Chinese consumers' behavioral intentions toward sustainable apparel products (SAP) by exploring the attitude-behavioral intention gap. Online survey data were used to examine the moderating impacts of consumption values and social norms on relationship between Chinese consumers' attitudes and behavioral intentions toward SAP. Results from moderating regression analysis suggest that (1) Chinese consumers' SAP attitudes had a strong positive effect on the purchase intention toward SAP, (2) aesthetic values positively moderated the relationship between the SAP attitude and purchase intention, whereas conspicuous values negatively moderated the relationship, and (3) utility values and social norms did not show any significant moderating influences on the relationship between the SAP attitude and purchase intention. Our study validates the attitude-behavior gap model in sustainable consumer behavior and discusses how the current findings can assist researchers and practitioners in the Clothing and Textiles field alike to fine-tune sustainable programs and marketing strategies in China."
